kissa micio gatto miaomiao miciomiciobaubau 
koira cane 
hevonen cavallo 
ehmã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤ mucca 
ana gallina 
nkka anatra 
ammas pecora 
ika maiale 
ksi uno primo 
kaksi due 
kolme tre 
neljã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤ quattro 
viisi cinque 
kuusi sei 
seitsemã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤n sette 
kahdeksan otto 
yhdeksã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤n nove 
kymmenen dieci 
punainen rosso 
inen blu 
vihreã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤ verde 
keltainen giallo 
musta nero 
valkoinen bianco 
harmaa grigio 
oranssi arancione 
violetti viola 
ruskea marrone 
omena mela 
banaani banana 
appelsiini arancia 
mansikka fragola 
vesimeloni anguria 
tomaatti pomodoro 
kurkku cetriolo 
porkkana carota 
peruna patata 
sipuli cipolla 
salaatti lattuga 
paprika peperone 
ravintola ristorante 
kahvila caffã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¨ 
koulu scuola 
yliopisto universitã£â£ã¢â£ã£â¢ã¢â£ 
kirjasto biblioteca 
sairaala ospedale 
apteekki farmacia 
pã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤ivã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤ giorno 
yã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¶ notte 
aamu mattina 
ilta sera 
viikko settimana 
kuukausi mese 
vuosi anno 
tã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤nã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤ã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤n oggi 
huomenna domani 
eilen ieri 
kyllã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤ sã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¬ 
ei no 
ehkã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤ forse 
kiitos grazie 
anteeksi scusa 
hei ciao 
nã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤kemiin arrivederci 
rakastan amo 
vihaan odio 
iso grande gigante 
pieni piccolo 
kuuma caldo 
kylmã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤ freddo 
uusi nuovo 
vanha vecchio 
hyvã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤ buono 
huono cattivo 
kaunis bello 
ruma brutto 
helppo facile 
vaikea difficile 
nopea veloce 
hidas lento 
rikas ricco 
kã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¶yhã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤ povero 
terve sano 
sairas malato 
hauska divertente 
tylsã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤ noioso 
kallis costoso 
halpa economico 
jã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤rvi lago 
metsã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤ foresta 
vuori montagna 
joki fiume 
meri mare 
taivas cielo 
tã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤hti stella 
aurinko sole 
kukka fiore 
puu albero 
lehti rivista 
sade pioggia 
lumi neve 
tuuli vento 
myrsky tempesta 
kirja libro 
sanomalehti giornale 
kynã£â£ã¢â£ã£â¢ã¢â£ã£â£ã¢â¢ã£â¢ã¢â¤ penna 
paperi carta 
kama libro 
